,firsts,lasts,lifespans,mentions
ܐܘܪܝܦܘܣ,375.0,1250.0,875.0,5
ܐܘܪܝܦܝ,1234.0,1994.0,760.0,11
ܐܘܪܝܦܝܐ,1250.0,1994.0,744.0,3
ܐܘܪܟܝܕܝܐ,950.0,950.0,0.0,1
ܐܘܪܟܝܣ,950.0,950.0,0.0,2
ܐܘܪܟܝܣܛܘܬܐ,701.0,701.0,0.0,2
ܐܘܪܟܣܛܪܝܐ,950.0,950.0,0.0,1
ܐܘܪܡܝܢܘܢ,950.0,950.0,0.0,1
ܐܘܪܢ,500.0,950.0,450.0,16
ܐܘܪܢܝܬܘܓܐܠܐ,950.0,950.0,0.0,1
ܐܘܪܢܝܬܝܣ,950.0,950.0,0.0,1
ܐܘܪܣܠܝܢܘܢ,950.0,950.0,0.0,1
ܐܘܪܦܘܣ,701.0,701.0,0.0,2
ܐܘܪܦܝ,950.0,950.0,0.0,1
ܐܘܪܩܘܣ,950.0,950.0,0.0,1
ܐܘܪܩܠܝܕܘܢ,539.0,950.0,411.0,6
ܐܘܪܬܘܓܪܦܝܐ,950.0,950.0,0.0,1
ܐܘܪܬܘܕܘܟܣܐ,500.0,701.0,201.0,26
ܐܘܪܬܦܘܢܝܐ,950.0,950.0,0.0,1
ܐܘܪܬܪܝܕܘ,950.0,950.0,0.0,1
ܐܘܬܐܕܝ,950.0,950.0,0.0,1
ܐܘܬܐܛܘܢ,950.0,950.0,0.0,1
ܐܘܬܗܢܛܝܐ,350.0,350.0,0.0,1
ܐܘܬܢܛܐ,450.0,450.0,0.0,1
ܐܘܬܢܛܝܐ,450.0,1375.0,925.0,35
ܐܘܬܢܛܝܩܘܢ,450.0,450.0,0.0,2
ܐܘܬܢܛܝܩܝ,950.0,950.0,0.0,1
ܐܘܬܢܝܛܘܣ,950.0,950.0,0.0,1
ܐܘܬܪܝܛܝܣ,950.0,950.0,0.0,1
ܐܙܓܘܡܐ,950.0,950.0,0.0,1
ܐܙܓܘܢܐ,675.0,1175.0,500.0,2
ܐܙܡܪܓܕܐ,575.0,1250.0,675.0,16
ܐܚܪܢܐܝܬ,350.0,1250.0,900.0,69
ܐܛܗܪܐܡܝܐ,950.0,950.0,0.0,1
ܐܛܘܡܐܛܘܢ,1250.0,1250.0,0.0,3
ܐܛܘܡܘܠܘܓܝܐ,950.0,950.0,0.0,1
ܐܛܘܡܝܐ,1250.0,1250.0,0.0,1
ܐܛܘܢ,350.0,950.0,600.0,111
ܐܛܘܢܐ,950.0,1275.0,325.0,2
ܐܛܝ,450.0,775.0,325.0,15
ܐܛܝܠܘܣ,950.0,950.0,0.0,1
ܐܛܝܡܐ,450.0,1250.0,800.0,23
ܐܛܝܩܐ,575.0,950.0,375.0,6
ܐܛܝܩܘܣ,550.0,1250.0,700.0,18
ܐܛܝܩܝܐ,800.0,950.0,150.0,6
ܐܛܠܘܣ,724.0,1234.0,510.0,6
ܐܛܪܝܢ,950.0,950.0,0.0,3
ܐܛܪܟܐ,950.0,950.0,0.0,1
ܐܛܪܩܛܘܠܝܣ,1250.0,1250.0,0.0,2
ܐܝ,500.0,1150.0,650.0,41
ܐܝܐܘܡܗܢܘܣ,950.0,950.0,0.0,1
ܐܝܐܝܡܐ,950.0,950.0,0.0,1
ܐܝܐܣܗ,950.0,950.0,0.0,1
ܐܝܐܣܘܡܗ,950.0,950.0,0.0,1
ܐܝܐܣܘܢ,675.0,1150.0,475.0,2
ܐܝܒܗܣܗܐܘܣ,950.0,950.0,0.0,1
ܐܝܒܢܘܣ,950.0,950.0,0.0,1
ܐܝܓܘܡܘܢܝܩܝܬܐ,950.0,950.0,0.0,1
ܐܝܓܘܢ,350.0,575.0,225.0,30
ܐܝܓܘܦܛܘܣ,588.0,1250.0,662.0,31
ܐܝܓܘܦܛܝܐ,675.0,1250.0,575.0,19
ܐܝܓܘܪܝܐ,950.0,950.0,0.0,1
ܐܝܓܝ,950.0,950.0,0.0,2
ܐܝܓܝܘܣܛܘܣ,950.0,950.0,0.0,1
ܐܝܓܡܘܢܐ,430.0,1250.0,820.0,49
ܐܝܓܩܗܪܘܣ,950.0,950.0,0.0,2
ܐܝܕܐܛܝܣ,950.0,950.0,0.0,1
ܐܝܕܗܐܝܢ,950.0,950.0,0.0,1
ܐܝܕܗܐܣ,950.0,950.0,0.0,1
ܐܝܕܘܐܘܣܡܘܢ,950.0,950.0,0.0,1
ܐܝܕܘܟܪܘܐܘܢ,950.0,950.0,0.0,1
ܐܝܕܘܠܗܣܟܝܘ,950.0,950.0,0.0,1
ܐܝܕܘܢ,350.0,350.0,0.0,1
ܐܝܕܘܣ,665.0,950.0,285.0,4
ܐܝܕܘܣܐܪܘܢ,950.0,950.0,0.0,3
ܐܝܕܛܘܣ,950.0,950.0,0.0,1
ܐܝܕܝܘܡܛܐ,550.0,550.0,0.0,1
ܐܝܕܝܡܗ,950.0,950.0,0.0,1
ܐܝܕܪܝܘܡܗܢܐ,950.0,950.0,0.0,1
ܐܝܗܡܘܢܝ,950.0,950.0,0.0,2
ܐܝܗܪܐ,350.0,950.0,600.0,2
ܐܝܗܪܒܘܛܐܢܝ,950.0,950.0,0.0,1
ܐܝܘ,325.0,1950.0,1625.0,661
ܐܝܘܕܘܦܘܣ,950.0,950.0,0.0,1
ܐܝܘܛܘ,950.0,950.0,0.0,4
ܐܝܘܛܘܢ,950.0,950.0,0.0,1
ܐܝܘܟܐܬܝܛܘ,950.0,950.0,0.0,1
ܐܝܘܟܝ,950.0,950.0,0.0,3
ܐܝܘܟܝܢ,950.0,950.0,0.0,1
ܐܝܘܟܝܢܐ,950.0,950.0,0.0,1
ܐܝܘܠܐܟܘܣ,950.0,950.0,0.0,1
ܐܝܘܠܒܢܛܛܝܣ,950.0,950.0,0.0,1
ܐܝܘܠܝ,950.0,1250.0,300.0,13
ܐܝܘܠܝܣܬܝܣܗܛܗ,950.0,950.0,0.0,1
ܐܝܘܡܝܘܢ,950.0,950.0,0.0,1
ܐܝܘܢ,475.0,1950.0,1475.0,101
ܐܝܘܣܛܗܪܝܣܗܐܝ,950.0,950.0,0.0,1
ܐܝܘܣܛܘܣ,950.0,950.0,0.0,1
ܐܝܘܦܐܐܝܛܘ,950.0,950.0,0.0,1
ܐܝܘܦܗܡܢܝܐ,950.0,950.0,0.0,1
ܐܝܘܦܗܪܐܣܦܝܣܛܝܣ,950.0,950.0,0.0,1
ܐܝܘܦܗܪܒܝܣܐܘܡܗ,950.0,950.0,0.0,1
ܐܝܘܦܗܪܗܕܝܘܢܐܡܘܣ,950.0,950.0,0.0,1
ܐܝܘܦܗܪܘܪܐܣܝܣܬܗ,950.0,950.0,0.0,1
