,Column1,lexeme,syriac,glosses,etymologies,root,words,category,kaylo,origin_lang,origin_lang_word
2359,29702,"{'id': 32567, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/32567.json'}",ܦܣܛܝܡܐ,{'English': ['a pledge']},{'Greek': ['πίστωμα']},,"[{'id': 58941, 'uri': 'https://sedra.bethmardutho.org/api/word/58941.json'}]",noun,,Greek,πίστωμα
2360,29704,"{'id': 32569, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/32569.json'}",ܦܣܝܟܝܐ,{'English': ['bits of bread']},{'Greek': ['ψιχίον']},,"[{'id': 58943, 'uri': 'https://sedra.bethmardutho.org/api/word/58943.json'}]",noun,,Greek,ψιχίον
2361,16738,"{'id': 18140, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/18140.json'}",ܦܣܝܡܬܝܢ,{'English': ['white-lead']},{'Greek': ['ψιμύθιον']},,"[{'id': 44514, 'uri': 'https://sedra.bethmardutho.org/api/word/44514.json'}]",noun,,Greek,ψιμύθιον
2362,29706,"{'id': 32571, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/32571.json'}",ܦܣܝܢܗܣ,{'English': ['gall-insects']},{'Greek': ['ψήν']},,"[{'id': 58945, 'uri': 'https://sedra.bethmardutho.org/api/word/58945.json'}]",noun,,Greek,ψήν
2363,29707,"{'id': 32572, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/32572.json'}",ܦܣܝܢܘܣ,{'English': ['Pessinus']},{'Greek': ['Pessinus']},,"[{'id': 58946, 'uri': 'https://sedra.bethmardutho.org/api/word/58946.json'}]",noun,,Greek,Pessinus
2364,6908,"{'id': 8004, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/8004.json'}",ܦܣܝܣ,"{'Arabic': ['جواب'], 'French': ['réponse'], 'English': ['declaration, response.']}",{'Greek': ['φάσις']},,"[{'id': 29772, 'uri': 'https://sedra.bethmardutho.org/api/word/29772.json'}]",noun,,Greek,φάσις
2365,29709,"{'id': 32574, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/32574.json'}",ܦܣܝܦܝܘܢ,{'English': ['voting room']},{'Greek': ['ψῆφος']},,"[{'id': 58948, 'uri': 'https://sedra.bethmardutho.org/api/word/58948.json'}]",noun,,Greek,ψῆφος
2366,29710,"{'id': 32575, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/32575.json'}",ܦܣܝܦܝܡܛܝܩܝܐ,{'English': ['ratifiable']},{'Greek': ['ψήφισμα']},,"[{'id': 58949, 'uri': 'https://sedra.bethmardutho.org/api/word/58949.json'}]",adjective,,Greek,ψήφισμα
2367,29711,"{'id': 32576, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/32576.json'}",ܦܣܠܘ,{'English': ['Psylli']},{'Greek': ['Psylli']},,"[{'id': 58950, 'uri': 'https://sedra.bethmardutho.org/api/word/58950.json'}]",noun,,Greek,Psylli
2368,29712,"{'id': 32577, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/32577.json'}",ܦܣܡܘܣ,{'English': ['verbascum']},{'Greek': ['φλόμος']},,"[{'id': 58951, 'uri': 'https://sedra.bethmardutho.org/api/word/58951.json'}]",noun,,Greek,φλόμος
2369,16742,"{'id': 18145, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/18145.json'}",ܦܣܢܣ,{'English': ['the male flower of the palm']},{'Greek': ['ψήν']},,"[{'id': 44519, 'uri': 'https://sedra.bethmardutho.org/api/word/44519.json'}]",noun,,Greek,ψήν
